cash_flow,supporting_type,fund_type,description,state,year,value,mode,deflator,chained,population,value_per_pop,chained_per_pop,value_crore,population_crore
Revenue,Supporting,Non-Trust Fund,State general funds,Alabama,2020,71241000.0,Highways,106.515,66883537.52992536,5025369,14.17627242894999,13.30917939158803,7.12,0.50254
Revenue,Supporting,Non-Trust Fund,State general funds,Alabama,2021,56598000.0,Highways,116.734,48484588.89440951,5049196,11.2093093633125,9.60243747606738,5.66,0.50492
Revenue,Supporting,Non-Trust Fund,State general funds,Alabama,2022,682611861.8412056,Highways,128.921,235179482.22019693,5076181,112.19132970310568,38.134588913698366,68.26,0.50762
Revenue,Supporting,Non-Trust Fund,State general funds,Arizona,2020,3178000.0,Highways,106.515,2983617.330892363,7158110,0.443971942314382,0.416816356676883,0.32,0.71581
Revenue,Supporting,Non-Trust Fund,State general funds,Arizona,2021,3762000.0,Highways,116.734,3222711.463669539,7274078,0.51717894694008,0.443040542549796,0.38,0.72741
Revenue,Supporting,Non-Trust Fund,State general funds,Arizona,2022,8167000.0,Highways,128.921,6334887.256536949,7377566,1.107004667935197,0.858669004999338,0.82,0.73776
Revenue,Supporting,Non-Trust Fund,State general funds,Arkansas,2020,42400000.0,Highways,106.515,39806600.00938835,3011553,14.07911466276702,13.21796428931795,4.24,0.30116
Revenue,Supporting,Non-Trust Fund,State general funds,Arkansas,2021,45580000.0,Highways,116.734,39046036.28762828,3026870,15.05845972902701,12.89980616532202,4.56,0.30269
Revenue,Supporting,Non-Trust Fund,State general funds,Arkansas,2022,48360000.0,Highways,128.921,37511344.15649894,3047704,15.86768268834506,12.30806671399156,4.84,0.30477
Revenue,Supporting,Non-Trust Fund,State general funds,Colorado,2020,190676000.0,Highways,106.515,179013284.5139182,5775324,33.01563687162833,30.99623233500289,19.07,0.57753
Revenue,Supporting,Non-Trust Fund,State general funds,Colorado,2021,500000.0,Highways,116.734,428324.2243048298,5814036,0.085998779505321,0.073670721045558,0.05,0.5814
Revenue,Supporting,Non-Trust Fund,State general funds,Colorado,2022,122022000.0,Highways,128.921,94648660.80778152,5850935,20.85512828291547,16.17667275534278,12.2,0.58509
Revenue,Supporting,Non-Trust Fund,State general funds,Connecticut,2020,682611861.8412056,Highways,106.515,235179482.22019693,3607701,112.19132970310568,38.134588913698366,68.26,0.36077
Revenue,Supporting,Non-Trust Fund,State general funds,Connecticut,2021,682611861.8412056,Highways,116.734,235179482.22019693,3606607,112.19132970310568,38.134588913698366,68.26,0.36066
Revenue,Supporting,Non-Trust Fund,State general funds,Connecticut,2022,682611861.8412056,Highways,128.921,235179482.22019693,3617925,112.19132970310568,38.134588913698366,68.26,0.36179
Revenue,Supporting,Non-Trust Fund,State general funds,Delaware,2022,109546000.0,Highways,128.921,84971416.60396677,1020625,107.3322718922229,83.2542967338315,10.95,0.10206
Revenue,Supporting,Non-Trust Fund,State general funds,Georgia,2020,450246000.0,Highways,106.515,422706661.0336572,10713755,42.02504164039592,39.45457601313986,45.02,1.07138
Revenue,Supporting,Non-Trust Fund,State general funds,Georgia,2021,480292000.0,Highways,116.734,411441396.6796306,10792060,44.50420031022807,38.1244541523704,48.03,1.07921
Revenue,Supporting,Non-Trust Fund,State general funds,Georgia,2022,609941000.0,Highways,128.921,473112216.0082532,10931805,55.79508598991658,43.27850853617066,60.99,1.09318
Revenue,Supporting,Non-Trust Fund,State general funds,Hawaii,2020,682611861.8412056,Highways,106.515,235179482.22019693,1455252,112.19132970310568,38.134588913698366,68.26,0.14553
Revenue,Supporting,Non-Trust Fund,State general funds,Hawaii,2021,682611861.8412056,Highways,116.734,235179482.22019693,1447029,112.19132970310568,38.134588913698366,68.26,0.1447
Revenue,Supporting,Non-Trust Fund,State general funds,Hawaii,2022,682611861.8412056,Highways,128.921,235179482.22019693,1440359,112.19132970310568,38.134588913698366,68.26,0.14404
Revenue,Supporting,Non-Trust Fund,State general funds,Idaho,2020,682611861.8412056,Highways,106.515,235179482.22019693,1839140,112.19132970310568,38.134588913698366,68.26,0.18391
Revenue,Supporting,Non-Trust Fund,State general funds,Idaho,2021,122000000.0,Highways,116.734,104511110.7303785,1904848,64.0471050708508,54.8658531968842,12.2,0.19048
Revenue,Supporting,Non-Trust Fund,State general funds,Idaho,2022,136870000.0,Highways,128.921,106165791.4536809,1944299,70.39555130152307,54.6036342423058,13.69,0.19443
Revenue,Supporting,Non-Trust Fund,State general funds,Illinois,2020,12492000.0,Highways,106.515,11727925.64427545,12821814,0.974277118666672,0.914685367006217,1.25,1.28218
Revenue,Supporting,Non-Trust Fund,State general funds,Illinois,2022,600703000.0,Highways,128.921,465946587.4450245,12621821,47.59241950903915,36.91595590248225,60.07,1.26218
Revenue,Supporting,Non-Trust Fund,State general funds,Indiana,2020,102616000.0,Highways,106.515,96339482.70196684,6786587,15.12041325043059,14.19557175086194,10.26,0.67866
Revenue,Supporting,Non-Trust Fund,State general funds,Indiana,2021,97046000.0,Highways,116.734,83134305.34377302,6815907,14.23816375428831,12.19710089116137,9.7,0.68159
Revenue,Supporting,Non-Trust Fund,State general funds,Indiana,2022,128928000.0,Highways,128.921,100005429.6817431,6844545,18.83660637777968,14.61096825015295,12.89,0.68445
Revenue,Supporting,Non-Trust Fund,State general funds,Iowa,2020,65392000.0,Highways,106.515,61392292.16542271,3190546,20.49555154509604,19.24193920583584,6.54,0.31905
Revenue,Supporting,Non-Trust Fund,State general funds,Iowa,2021,60058000.0,Highways,116.734,51448592.52659893,3198613,18.77626333663997,16.08465685801906,6.01,0.31986
Revenue,Supporting,Non-Trust Fund,State general funds,Iowa,2022,67881000.0,Highways,128.921,52653175.20031647,3202820,21.19413516838286,16.43962982631446,6.79,0.32028
Revenue,Supporting,Non-Trust Fund,State general funds,Kansas,2020,682611861.8412056,Highways,106.515,235179482.22019693,2937745,112.19132970310568,38.134588913698366,68.26,0.29377
Revenue,Supporting,Non-Trust Fund,State general funds,Kansas,2021,682611861.8412056,Highways,116.734,235179482.22019693,2938338,112.19132970310568,38.134588913698366,68.26,0.29383
Revenue,Supporting,Non-Trust Fund,State general funds,Kansas,2022,682611861.8412056,Highways,128.921,235179482.22019693,2937324,112.19132970310568,38.134588913698366,68.26,0.29373
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2020,6031000.0,Highways,106.515,5662113.31737314,4506302,1.338347940284517,1.256487762554116,0.6,0.45063
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2021,6087000.0,Highways,116.734,5214419.106686997,4507583,1.350391107606893,1.156810447347724,0.61,0.45076
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2022,14374000.0,Highways,128.921,11149463.62501067,4519233,3.180628217221816,2.467114137511977,1.44,0.45192
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2020,93500000.0,Highways,106.515,87781063.69994836,4657874,20.07353569461089,18.84573599456498,9.35,0.46579
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2021,58910000.0,Highways,116.734,50465160.10759504,4627971,12.72912038558582,10.90438123047768,5.89,0.4628
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2022,226784000.0,Highways,128.921,175909277.7747613,4593687,49.36862263362741,38.29370128499423,22.68,0.45937
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2020,682611861.8412056,Highways,106.515,235179482.22019693,1363196,112.19132970310568,38.134588913698366,68.26,0.13632
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2021,682611861.8412056,Highways,116.734,235179482.22019693,1378931,112.19132970310568,38.134588913698366,68.26,0.13789
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2022,682611861.8412056,Highways,128.921,235179482.22019693,1390922,112.19132970310568,38.134588913698366,68.26,0.13909
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2020,321314000.0,Highways,106.515,301660798.9485049,6181629,51.97885541173694,48.79956382832177,32.13,0.61816
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2021,477436000.0,Highways,116.734,408994808.7104014,6179403,77.26247988681108,66.18678353077173,47.74,0.61794
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2022,490317000.0,Highways,128.921,380323609.0318878,6192440,79.17993553429666,61.41740719843676,49.03,0.61924
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2020,352716000.0,Highways,106.515,331142092.6630052,7033132,50.15062990428731,47.08316190610459,35.27,0.70331
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2021,682611861.8412056,Highways,116.734,235179482.22019693,7000474,112.19132970310568,38.134588913698366,68.26,0.70005
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2022,682611861.8412056,Highways,128.921,235179482.22019693,7022468,112.19132970310568,38.134588913698366,68.26,0.70225
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2020,18586000.0,Highways,106.515,17449185.56071915,5706692,3.256878065260925,3.057670811867742,1.86,0.57067
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2021,39052000.0,Highways,116.734,33453835.21510442,5718660,6.828872498102703,5.84994303125285,3.91,0.57187
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2022,15730000.0,Highways,128.921,12201270.54552788,5721621,2.749220893869063,2.132484927877586,1.57,0.57216
Revenue,Supporting,Non-Trust Fund,State general funds,Mississippi,2020,682611861.8412056,Highways,106.515,235179482.22019693,2961278,112.19132970310568,38.134588913698366,68.26,0.29613
Revenue,Supporting,Non-Trust Fund,State general funds,Mississippi,2021,682611861.8412056,Highways,116.734,235179482.22019693,2947209,112.19132970310568,38.134588913698366,68.26,0.29472
