cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2020,Actual,71241000,Highways,106.515,66883537.53,1,0,Other,2017,2,5025369,14.17627243,13.30917939
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2021,Actual,56598000,Highways,116.734,48484588.89,1,0,Other,2017,2,5049196,11.20930936,9.602437476
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,2,5076181,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2020,Actual,115576000,Highways,106.515,108506783.1,1,0,Other,2017,1,733395,157.5903844,147.9513537
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2021,Actual,191011000,Highways,116.734,163629276.8,1,0,Other,2017,1,734420,260.084148,222.8006819
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2022,Actual,152958000,Highways,128.921,118644751.4,1,0,Other,2017,1,734442,208.2642333,161.5440721
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2020,Actual,3178000,Highways,106.515,2983617.331,1,0,Other,2017,5,7158110,0.443971942,0.416816357
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2021,Actual,3762000,Highways,116.734,3222711.464,1,0,Other,2017,5,7274078,0.517178947,0.443040543
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2022,Actual,8167000,Highways,128.921,6334887.257,1,0,Other,2017,5,7377566,1.107004668,0.858669005
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2020,Actual,42400000,Highways,106.515,39806600.01,1,0,Other,2017,3,3011553,14.07911466,13.21796429
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2021,Actual,45580000,Highways,116.734,39046036.29,1,0,Other,2017,3,3026870,15.05845973,12.89980617
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2022,Actual,48360000,Highways,128.921,37511344.16,1,0,Other,2017,3,3047704,15.86768269,12.30806671
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2020,Actual,12000,Highways,106.515,11266.01887,1,0,Other,2017,6,39555674,0.00030337,0.000284814
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2021,Actual,5000,Highways,116.734,4283.242243,1,0,Other,2017,6,39142565,0.000127738,0.000109427
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,6,39142414,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2020,Actual,190676000,Highways,106.515,179013284.5,1,0,Other,2017,7,5775324,33.01563687,30.99623234
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2021,Actual,500000,Highways,116.734,428324.2243,1,0,Other,2017,7,5814036,0.08599878,0.073670721
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2022,Actual,122022000,Highways,128.921,94648660.81,1,0,Other,2017,7,5850935,20.85512828,16.17667276
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,8,3607701,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,8,3606607,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,8,3617925,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2020,Actual,105384000,Highways,106.515,98938177.72,1,0,Other,2017,10,989955,106.4533236,99.94209608
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2021,Actual,108436000,Highways,116.734,92891531.17,1,0,Other,2017,10,1005062,107.8898615,92.42368249
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2022,Actual,109546000,Highways,128.921,84971416.6,1,0,Other,2017,10,1020625,107.3322719,83.25429673
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2020,Actual,145445000,Highways,106.515,136548842.9,1,0,Other,2017,9,689545,210.9289459,198.0274571
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2021,Actual,325094000,Highways,116.734,278491270.8,1,0,Other,2017,9,669256,485.7543302,416.1206934
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2022,Actual,359722000,Highways,128.921,279025139.4,1,0,Other,2017,9,676725,531.5630426,412.3168782
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,11,21538192,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,11,21831949,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,11,22379312,0,0
